r	NMI	NVI	AdjRand	AdjMI	Vmeas	Fowlkes	MargLik	varK	
0.0	0.000229862261600789	0.0001901123114515503	6.797955349734e-05	0.00024433803122273694	0.00022986226160079038	0.00010089193700958745	0.17224138323100782	0.0
0.1	0.00041666140417979833	0.00035621594728390426	3.171479400179082e-05	0.0004487069387424525	0.0004166614041797951	4.1769343991745996e-05	0.24345127471844197	0.0
0.2	0.0003031100434450855	0.0002647523106563725	1.937144979392024e-05	0.00032465129972071414	0.00030311004344508666	2.816845138744036e-05	0.10822852017933467	0.0
0.3	0.0004111500754141902	0.0003969505907033499	2.9307507749029934e-05	0.00044910818825803284	0.00041115007541419143	5.031962558767146e-05	0.189657463199787	0.0
0.4	0.00043230580967533715	0.00039269842834397295	4.757466911180448e-05	0.00046933948481450857	0.0004323058096753356	6.40116702885831e-05	0.30730131724546617	0.0
0.5	0.0003194792410274804	0.00028427344914368837	3.878339528980999e-05	0.00034468577921341895	0.0003194792410274802	6.668445828304087e-05	0.6162327117722348	0.0
0.6	0.0009268731087518699	0.0008512568082939087	0.0003655533819324577	0.0010074961023141473	0.0009268731087518715	0.0005158993499135766	10.375002552403746	0.0
0.7	0.0043276450424336085	0.003392132022465685	0.003034669564039022	0.004640657648160046	0.0043276450424336015	0.0036719775711499102	28.235918837636675	0.0
0.8	0.0035853805990059603	0.0031561398253120653	0.002287051331825948	0.003915224532095725	0.0035853805990059477	0.0029460770356158437	8.784111094956755	0.0
0.9	0.004875453400100776	0.004356621286086609	0.00255002895023386	0.005339032896944164	0.004875453400100779	0.0033873198382202195	6.494856228961844	0.0
1.0	0.0038595373208903847	0.0033131591728003487	0.0021131052223111522	0.004154195721911046	0.0038595373208903873	0.002278290556979618	7.890523217445248	0.0
1.1	0.003438506055347677	0.003449085526013041	0.0022173469823556285	0.003839292305374534	0.003438506055347673	0.003080659367803566	6.565870662378541	0.0
1.2	0.003969006609146279	0.0035319723303295194	0.0018474203459929947	0.004269559376020923	0.003969006609146273	0.002612774028260677	19.702075028601524	0.0
1.3	0.009111292378921823	0.008001355124380992	0.007487639652469892	0.009946754773699086	0.00911129237892183	0.011023898358295712	55.750719396877265	0.0
1.4	0.009058554759044846	0.007716875958666747	0.007725733603699517	0.009903447704177079	0.009058554759044853	0.010705106061150944	54.19790350485995	0.0
