r	NMI	NVI	AdjRand	AdjMI	Vmeas	Fowlkes	MargLik	varK	
0.0	0.08181138293875755	0.8287542310378359	-4.872372242971347e-06	0.000748343240098112	0.08181138293875756	0.020734691845207997	10104.55441569418	0.9403409090909091
0.1	0.08098163669612408	0.8299814829585742	-3.295823644849323e-05	-0.00022652313388283924	0.08098163669612408	0.020592653827282183	10096.644990409435	0.9403409090909091
0.2	0.08111295953936251	0.830049874228768	-1.772335109394231e-05	-0.00011392422754100975	0.08111295953936251	0.020575059065282487	10085.993319747	0.9403409090909091
0.3	0.08247430269096806	0.8291831330346812	5.010688306138592e-06	0.0013117304787256293	0.08247430269096806	0.02052974356518399	10072.248984675372	0.9403409090909091
0.4	0.08161515110494953	0.8303325334791727	2.7548085728575854e-05	0.0003043871413419238	0.08161515110494953	0.02048755596368058	10051.333130893252	0.9403409090909091
0.5	0.08223055558344354	0.8300047948875231	5.32427764875956e-05	0.0009376567227278508	0.08223055558344355	0.02047540700196727	10018.489363040748	0.9403409090909091
0.6	0.10155418571221926	0.8125822318712578	0.005323376974804708	0.02196330922493073	0.10155418571221926	0.027802640568219905	9623.046370145581	0.9403409090909091
0.7	0.40938574701936803	0.5262790877892651	0.09465665514484967	0.3586020500450564	0.40938574701936803	0.16602899251331252	5897.07226195547	0.9403409090909091
0.8	0.4568625045817359	0.4859221750975498	0.11402124667658982	0.40990288627431465	0.45686250458173583	0.19061143156015917	4618.623688382028	0.9403409090909091
0.9	0.45232670434898425	0.490550431831311	0.10876660626148192	0.40476540476596984	0.45232670434898425	0.18202950288522468	4224.906830254228	0.9403409090909091
1.0	0.45088246879556754	0.49151956477718256	0.10536612300805602	0.4033143041665919	0.4508824687955675	0.17776553980737766	4056.6479834331494	0.9403409090909091
1.1	0.444873529125013	0.4961746119309098	0.10274969781525617	0.396923031053741	0.444873529125013	0.17514705407472153	4060.189206672337	0.9403409090909091
1.2	0.4341731253847732	0.5054816786054749	0.10085706041344529	0.38528721479937406	0.4341731253847732	0.17302271396248745	4226.636539086119	0.9403409090909091
1.3	0.40150925653086283	0.5323106362496016	0.08191187861322465	0.35038742774268056	0.40150925653086283	0.14804692306647207	4575.410264507999	0.9403409090909091
1.4	0.3707256357229021	0.561550715157991	0.07582394605736642	0.31652352380340765	0.3707256357229021	0.1358710473703804	4992.226942383982	0.9403409090909091
