r	NMI	NVI	AdjRand	AdjMI	Vmeas	Fowlkes	MargLik	varK	
0.0	0.0003196694858319889	0.00036204932478474074	0.00017961023915052363	0.00035832708966471237	0.00031966948583199455	0.0002667926677414094	0.4056272620060305	0.0
0.1	0.000931683223346544	0.0007965230727962915	7.091643528040685e-05	0.0010033392170039576	0.0009316832233465368	9.339909254111644e-05	0.5443735994794122	0.0
0.2	0.0007657859997903784	0.0006432864282357732	5.009249259210782e-05	0.0008148278653975099	0.0007657859997903814	6.958522464198933e-05	0.2772302292886883	0.0
0.3	0.0008879980845121416	0.0008722559070224904	7.167610076171104e-05	0.000970724475269778	0.0008879980845121437	0.0001231204110740207	0.4573826643064713	1.1102230246251565e-16
0.4	0.0010024140294610186	0.0008825341493911038	0.00010835066618454766	0.0010844159324984747	0.0010024140294610147	0.00013707535146757332	0.7177287122528385	1.1102230246251565e-16
0.5	0.0007143773003374859	0.0006356547564836166	8.67223082662603e-05	0.0007707408331986888	0.0007143773003374854	0.00014911098176362828	1.3779382334817518	0.0
0.6	0.0020437739366384955	0.0018945924414025715	0.0007587744167231099	0.0022245842504998283	0.0020437739366384977	0.0010792756238808478	23.383394544324517	1.1102230246251565e-16
0.7	0.009676908497371508	0.007585037790887115	0.006785727434440904	0.010376825961590164	0.009676908497371494	0.008210791460945768	63.13743392812245	0.0
0.8	0.008768971053791812	0.007728288929114362	0.005427367047083016	0.009577409039543882	0.008768971053791784	0.007050726280998835	21.499732501544244	1.1102230246251565e-16
0.9	0.010901845223757816	0.009741701347912217	0.005702038077315339	0.011938440491674779	0.01090184522375782	0.007574277419794	14.52294003204662	0.0
1.0	0.009448438923427479	0.008094343970989968	0.004899269847552217	0.010175242876053363	0.009448438923427485	0.005496547371112364	16.633558398500224	1.1102230246251565e-16
1.1	0.007688733280802059	0.007712389696375778	0.004958138582251212	0.00858491858030934	0.0076887332808020506	0.0068885637619303	14.681733132549986	0.0
1.2	0.008874968581197016	0.007897730225265147	0.0041309574766565165	0.009547024998754365	0.008874968581197004	0.0058423403370368296	44.05517906175411	0.0
1.3	0.01582580103106855	0.013105045477596916	0.011596799871536716	0.017071069505037003	0.015825801031068544	0.01596385573512193	95.55728900865549	1.1102230246251565e-16
1.4	0.0194005665958474	0.016330584256731905	0.016526015647312257	0.02111980336329136	0.019400566595847407	0.02267641416496396	113.89116297726613	1.1102230246251565e-16
