r	AdjMI	AdjRand	NVI	Vmeas	Fowlkes	NMI	varK
0.0	0.0022258176470927515	0.002995390425543235	0.0019824471643915226	0.0020354544820059715	0.0027429732193781824	0.002035454482005972	0.032499676248063734
0.1	0.002472737744217909	0.0032453376347324147	0.002089206132381025	0.002292673627291557	0.002898788409607144	0.0022926736272915567	0.030366263991091425
0.2	0.002570585126314692	0.003463882336746777	0.0019656849792275763	0.0024342146550355086	0.0030321203051520648	0.0024342146550355086	0.023620170573314177
0.3	0.003102810584691835	0.0045918697947534715	0.002392757726982238	0.002936647791614369	0.0037728849845663345	0.0029366477916143684	0.02844846878097384
0.4	0.003035680656457693	0.0038982609015604393	0.0021406964876742457	0.002905490451850786	0.003149082362064537	0.0029054904518507857	0.020789684915305112
0.5	0.0034643673731315078	0.005170185967826717	0.002283483874297012	0.003355441568575597	0.004042644031098808	0.003355441568575596	0.017803012393428914
0.6	0.005121243545642081	0.009540342961216818	0.0034507820891928956	0.004942300899421044	0.007048166341392478	0.004942300899421044	0.028369456077961236
0.7	0.005718177774339913	0.007859404927214103	0.0031505846314679254	0.005579091600167993	0.0055307236123329955	0.005579091600167992	0.02117746086018926
0.8	0.0037129332801992773	0.004803582259078468	0.00171912422395768	0.0036492082469070535	0.003254669272861349	0.0036492082469070557	0.011266588966321042
0.9	0.004458296881949309	0.0067851996471724645	0.0018451464580977197	0.0044002043117376335	0.004302974897269247	0.004400204311737632	0.0
1.0	0.00629283798572707	0.011598004846068937	0.0022720892662484197	0.006230831851944797	0.0063658438671428605	0.006230831851944794	0.009587449708822051
1.1	7.810712861838192e-17	1.227397735431716e-16	2.7895403077993544e-18	8.926528984957934e-17	4.463264492478967e-17	8.926528984957934e-17	3.905356430919096e-17
