r	AdjMI	AdjRand	NVI	Vmeas	Fowlkes	NMI	varK
0.0	0.5445137724225008	0.2950126682532767	0.302972500721887	0.5640766027368679	0.47995018447626764	0.5640766027368679	2.7766666666666655
0.1	0.558026525168504	0.3251802490361691	0.2867759949239642	0.5754260779470337	0.5064098042749566	0.5754260779470337	2.4266666666666676
0.2	0.5680102013648927	0.35215423727948425	0.2725781660069302	0.5835197494458981	0.5284359656484977	0.5835197494458981	2.09
0.3	0.6001513627050525	0.40849024175119597	0.24291923747007066	0.6130709516860807	0.5750114318537354	0.6130709516860807	1.7233333333333332
0.4	0.6184126095687908	0.4413184930119437	0.2259603799569677	0.629692437230043	0.6013636186672507	0.629692437230043	1.476666666666666
0.5	0.638905619683574	0.47453981285000096	0.2077601782124561	0.648723788963097	0.6265388594472756	0.6487237889630971	1.253333333333332
0.6	0.6876429897448838	0.5728224719367883	0.1697668393245282	0.6951876142037983	0.6998534492727566	0.6951876142037983	0.9233333333333333
0.7	0.8016485716485902	0.7859014937221229	0.09413209789524615	0.8052120347242824	0.8534710973087304	0.8052120347242824	0.33999999999999986
0.8	0.862289507432521	0.8645454599482528	0.06022595446349668	0.8641220309570374	0.9090812445901392	0.8641220309570375	0.04333333333333333
0.9	0.8675525801877795	0.8652099326209348	0.05695706814473122	0.8692030240597901	0.910478347665671	0.86920302405979	0.0
1.0	0.843488669190576	0.8202264680822635	0.06488908125531996	0.8453381784232381	0.8866557777617118	0.8453381784232383	0.03
1.1	0.731584760721958	0.5681159420289867	0.0922234593521026	0.7336804366512113	0.7714542762891768	0.7336804366512113	0.3333333333333329
