r	AdjMI	AdjRand	NVI	Vmeas	Fowlkes	NMI	varK
0.0	0.022146605961475038	0.02980375842644971	0.019725100232972075	0.02025251638398304	0.027292238936011924	0.02025251638398305	0.3233676957685583
0.1	0.024603429907561824	0.03229070175728065	0.0207873385524523	0.022811814565407644	0.02884258050389387	0.022811814565407644	0.30214051182999097
0.2	0.025576999066962522	0.03446519408678565	0.019558318596406256	0.024220130009811557	0.03016921611422195	0.024220130009811557	0.23501772982763075
0.3	0.030872575514898217	0.045688527586090585	0.023807638783871186	0.029219276598631962	0.037539731612917064	0.02921927659863196	0.2830586904198885
0.4	0.030204641162429817	0.03878720623616563	0.02129966111894141	0.02890926498224769	0.03133297388668255	0.028909264982247686	0.20685475312133592
0.5	0.03447002013787913	0.051442700854925145	0.022720377677610794	0.033386222066780505	0.040223800236373786	0.0333862220667805	0.17713773674115232
0.6	0.050955729902772334	0.09492521392099304	0.03433484826939467	0.04917527305324687	0.07012836964323245	0.04917527305324687	0.28227252395119473
0.7	0.05689515048610506	0.07820009165711903	0.03134792127851776	0.055511260526342227	0.05503000512380274	0.05551126052634222	0.2107130750570547
0.8	0.036943219686133545	0.047795040008913124	0.01710507005663559	0.03630916361058391	0.0323835503843398	0.03630916361058393	0.11210114480533495
0.9	0.044359493884311776	0.06751188407196873	0.018358975454290077	0.04378148010881327	0.04281405964968049	0.04378148010881325	0.0
1.0	0.06261294739545763	0.1153986911734029	0.022607002759019754	0.06199599415408848	0.06333934674389369	0.061995994154088456	0.09539392014169462
1.1	7.771561172376096e-16	1.2212453270876722e-15	2.7755575615628914e-17	8.881784197001252e-16	4.440892098500626e-16	8.881784197001252e-16	3.885780586188048e-16
