NMI	NVI	AdjRand	AdjMI	Vmeas	Fowlkes	MargLik	varK	
0.4705063644263675	0.4737906321443428	0.11916266234616385	0.4247808410612395	0.47050636442636745	0.19793858096879136	4594.187601637516	0.9403409090909091	
0.44468457240223175	0.4968713637577431	0.10943852539669482	0.39657625114734796	0.44468457240223175	0.18386874082595883	4638.6551963099255	0.9403409090909091	
0.46152800115805376	0.48197236466851	0.12015361322657274	0.4150674631833964	0.4615280011580537	0.19855679527632575	4595.788640515875	0.9403409090909091	
0.45205835098417496	0.4892575506763647	0.106218689663683	0.4047466928296859	0.45205835098417496	0.18160074784810215	4616.096735404223	0.9403409090909091	
0.45454597728061796	0.4881315869985507	0.1122989366353495	0.4073284276177508	0.4545459772806181	0.18795416823654013	4646.652035303468	0.9403409090909091	
0.4578517612389692	0.4855095523397875	0.11685505279107497	0.41091764180646734	0.45785176123896915	0.19374955620523687	4620.3619211211635	0.9403409090909091	
0.4670900848084154	0.47727950990258383	0.11778007764417897	0.4207528452467469	0.46709008480841546	0.1955132113782497	4616.595194780777	0.9403409090909091	
0.4481097991743978	0.49369224534230527	0.10091795270894802	0.40006562469752227	0.44810979917439775	0.17289213961082486	4645.427171047519	0.9403409090909091	
0.4661466229408323	0.4779492111205943	0.12064827986712051	0.42033639867680933	0.4661466229408323	0.19824301776876146	4591.032876525205	0.9403409090909091	
0.46510742448153364	0.4800125079159783	0.12093417643756937	0.4184799899189185	0.46510742448153364	0.19762772305334114	4578.623040418934	0.9403409090909091	
