r	NMI	AdjRand	AdjMI	Vmeas	Fowlkes
0.0	0.5652477341174611	0.3092229405104317	0.5461908905040626	0.5652477341174613	0.49243317211454496
0.1	0.5795031297066509	0.3235063216460995	0.5623311383926554	0.5795031297066509	0.5054539387344985
0.2	0.588543710258719	0.35116568252593694	0.5729138088516106	0.588543710258719	0.528651905738218
0.3	0.5983453554957687	0.38562265370328314	0.584137478737504	0.5983453554957686	0.5564327055934607
0.4	0.6356291092661424	0.4450106471928784	0.6245911697412772	0.6356291092661424	0.6046118471706654
0.5	0.6424484021962507	0.46356612995281027	0.6322650383020081	0.6424484021962507	0.6178886897205842
0.6	0.6746437156305362	0.5591198680815693	0.6665210430239593	0.674643715630536	0.6901499761163599
0.7	0.7823901303578579	0.7538510513784821	0.7781801239397726	0.7823901303578576	0.8311707290146637
0.8	0.8674432088595113	0.860536505439885	0.8657774948721549	0.8674432088595113	0.9068125777590851
0.9	0.8868623522163821	0.891895772912443	0.8854434082940987	0.8868623522163821	0.9276172437806567
1.0	0.8707898550646291	0.8547247595936461	0.8692931045710621	0.8707898550646291	0.9088270835873884
1.1	0.7336804366512105	0.5681159420289854	0.7315847607219572	0.7336804366512105	0.7714542762891774
