r	NMI	AdjRand	AdjMI	Vmeas	Fowlkes
0.0	0.01931831588943527	0.03797762725518698	0.021205077456515693	0.019318315889435285	0.033242473775662695
0.1	0.019840627396167872	0.022442821894197308	0.020619487745793294	0.019840627396167845	0.020851918703407354
0.2	0.02476086502814243	0.03227609266329089	0.025796073385956415	0.024760865028142412	0.028845390651836604
0.3	0.02037356837219498	0.035695041605443976	0.021283357908177366	0.02037356837219496	0.030638395933212673
0.4	0.028691568072737067	0.03124277632504898	0.029697063965078676	0.02869156807273706	0.026272348809988823
0.5	0.026061520645283463	0.04411794088489349	0.027130810359028496	0.026061520645283446	0.03461470009373491
0.6	0.039992293587142985	0.07111131604393466	0.04107392286838265	0.03999229358714296	0.0541803455842997
0.7	0.04727659974119615	0.07716172276546873	0.048578343997542656	0.047276599741196086	0.054478451923365805
0.8	0.021074632462200357	0.029250583006003653	0.021341381198173463	0.02107463246220038	0.019411788909766282
0.9	0.026860994071699257	0.03081597893510931	0.027199025094365586	0.026860994071699257	0.020538606312536
1.0	0.051676586423780604	0.09987897868372711	0.0519951157020929	0.05167658642378061	0.04974582817731885
1.1	1.1102230246251565e-16	1.1102230246251565e-16	0.0	1.1102230246251565e-16	1.1102230246251565e-16
