r	NMI	AdjRand	AdjMI	Vmeas	Fowlkes
0.0	0.006439438629811756	0.012659209085062326	0.0070683591521718955	0.0064394386298117605	0.011080824591887565
0.1	0.0066135424653892905	0.0074809406313991016	0.006873162581931097	0.006613542465389282	0.006950639567802451
0.2	0.008253621676047476	0.010758697554430296	0.008598691128652138	0.00825362167604747	0.009615130217278868
0.3	0.006791189457398327	0.011898347201814659	0.007094452636059122	0.006791189457398321	0.010212798644404225
0.4	0.009563856024245688	0.010414258775016326	0.00989902132169289	0.009563856024245686	0.008757449603329607
0.5	0.00868717354842782	0.014705980294964496	0.009043603453009499	0.008687173548427815	0.011538233364578302
0.6	0.013330764529047662	0.023703772014644887	0.013691307622794215	0.013330764529047651	0.018060115194766566
0.7	0.015758866580398715	0.025720574255156246	0.016192781332514217	0.015758866580398694	0.018159483974455267
0.8	0.007024877487400118	0.00975019433533455	0.007113793732724488	0.007024877487400126	0.006470596303255428
0.9	0.008953664690566418	0.01027199297836977	0.009066341698121861	0.008953664690566418	0.006846202104178667
1.0	0.017225528807926868	0.0332929928945757	0.017331705234030964	0.01722552880792687	0.01658194272577295
1.1	3.700743415417188e-17	3.700743415417188e-17	0.0	3.700743415417188e-17	3.700743415417188e-17
