r	NMI	AdjRand	AdjMI	Vmeas	Fowlkes
0.0	0.164492336045272	0.2053514067767151	0.16498366050515223	0.16449233604527197	0.036248222442538836
0.1	0.14797984738351525	0.18590663108933325	0.14842238526316312	0.14797984738351525	0.03274720566142499
0.2	0.15498643838443005	0.19207683044026633	0.15561220689240263	0.15498643838443005	0.0313766504195482
0.3	0.1582567037453105	0.20189057909825922	0.15874077981403276	0.15825670374531048	0.034534516125133016
0.4	0.13053302834328692	0.16324006446256842	0.13092724648669476	0.13053302834328692	0.028411796061272216
0.5	0.17162600073671105	0.21050447368456482	0.17233681665596826	0.17162600073671103	0.033583811491323765
0.6	0.1891592890217589	0.22535093580686116	0.19021508933018544	0.1891592890217589	0.03064029803446034
0.7	0.16507734897187615	0.19226138737926843	0.16608698900951596	0.16507734897187612	0.023988770444702778
0.8	0.1662211379354459	0.19306812169120688	0.16726272743760542	0.1662211379354459	0.0229196110044106
0.9	0.19155321728019453	0.22132424531718134	0.19281514627174204	0.19155321728019453	0.024145693743796895
1.0	0.18599180820692976	0.21660016460038786	0.18717767432452925	0.1859918082069298	0.02464105791052233
1.1	0.12342688779618398	0.14324186501041433	0.12420590300758745	0.12342688779618398	0.016664861099789638
