r	run	NMI	AdjRand	AdjMI	Vmeas	Fowlkes
0.0	0	0.09547808401786273	0.08103557606595067	0.0936618112808216	0.09547808401786273	0.7137883069456481
0.0	1	0.09547808401786273	0.08103557606595067	0.0936618112808216	0.09547808401786273	0.7137883069456481
0.0	2	0.4208397482268929	0.48768731101045765	0.420002210684197	0.42083974822689285	0.7845405383268294
0.0	3	0.42496684024278264	0.4928571684247828	0.4241366019726939	0.4249668402427827	0.7862806964172689
0.0	4	0.43395490985197016	0.49782290323739853	0.4331363384593267	0.4339549098519701	0.7888676605153101
0.0	5	0.42496684024278264	0.4928571684247828	0.4241366019726939	0.4249668402427827	0.7862806964172689
0.0	6	0.09547808401786273	0.08103557606595067	0.0936618112808216	0.09547808401786273	0.7137883069456481
0.0	7	0.10480090081382366	0.08331210351611741	0.10299265776081273	0.10480090081382368	0.7157141334010132
0.0	8	0.4298142706672585	0.492627035784629	0.4289883759420244	0.42981427066725847	0.7871200928379276
0.0	9	0.09889665611386292	0.08406510252485086	0.09709773189865673	0.09889665611386292	0.71370628001608
0.1	0	0.09205356525911473	0.07802807469520058	0.0902195734302369	0.09205356525911473	0.7138852523421225
0.1	1	0.1152748367067946	0.092550161969959	0.11351864419286498	0.1152748367067946	0.7155320581596786
0.1	2	0.09889665611386292	0.08406510252485086	0.09709773189865673	0.09889665611386292	0.71370628001608
0.1	3	0.09547808401786273	0.08103557606595067	0.0936618112808216	0.09547808401786273	0.7137883069456481
0.1	4	0.1152748367067946	0.092550161969959	0.11351864419286498	0.1152748367067946	0.7155320581596786
0.1	5	0.4298142706672585	0.492627035784629	0.4289883759420244	0.42981427066725847	0.7871200928379276
0.1	6	0.42496684024278264	0.4928571684247828	0.4241366019726939	0.4249668402427827	0.7862806964172689
0.1	7	0.10480090081382366	0.08331210351611741	0.10299265776081273	0.10480090081382368	0.7157141334010132
0.1	8	0.42569785214361316	0.4874531472604956	0.4248646338360621	0.42569785214361316	0.7853927013295128
0.1	9	0.10830169515079438	0.08636946736826615	0.1065111721218362	0.10830169515079438	0.7156384346852342
0.2	0	0.4167369724112699	0.4825394479691516	0.4158921356622455	0.41673697241126995	0.7828205306847352
0.2	1	0.10480090081382366	0.08331210351611741	0.10299265776081273	0.10480090081382368	0.7157141334010132
0.2	2	0.42496684024278264	0.4928571684247828	0.4241366019726939	0.4249668402427827	0.7862806964172689
0.2	3	0.09547808401786273	0.08103557606595067	0.0936618112808216	0.09547808401786273	0.7137883069456481
0.2	4	0.10830169515079438	0.08636946736826615	0.1065111721218362	0.10830169515079438	0.7156384346852342
0.2	5	0.09205356525911473	0.07802807469520058	0.0902195734302369	0.09205356525911473	0.7138852523421225
0.2	6	0.10480090081382366	0.08331210351611741	0.10299265776081273	0.10480090081382368	0.7157141334010132
0.2	7	0.010182219220269649	0.004828344696591908	0.006744958649892184	0.010182219220269649	0.7281359300079132
0.2	8	0.4208397482268929	0.48768731101045765	0.420002210684197	0.42083974822689285	0.7845405383268294
0.2	9	0.09889665611386292	0.08406510252485086	0.09709773189865673	0.09889665611386292	0.71370628001608
0.3	0	0.10480090081382366	0.08331210351611741	0.10299265776081273	0.10480090081382368	0.7157141334010132
0.3	1	0.4216051785408829	0.4823012280646396	0.42076463534185027	0.4216051785408829	0.783685467007212
0.3	2	0.4298142706672585	0.492627035784629	0.4289883759420244	0.42981427066725847	0.7871200928379276
0.3	3	0.10480090081382366	0.08331210351611741	0.10299265776081273	0.10480090081382368	0.7157141334010132
0.3	4	0.10830169515079438	0.08636946736826615	0.1065111721218362	0.10830169515079438	0.7156384346852342
0.3	5	0.10480090081382366	0.08331210351611741	0.10299265776081273	0.10480090081382368	0.7157141334010132
0.3	6	0.4122921406254707	0.48277415610579516	0.41144360250518097	0.41229214062547065	0.7819689802114964
0.3	7	0.4208397482268929	0.48768731101045765	0.420002210684197	0.42083974822689285	0.7845405383268294
0.3	8	0.10480090081382366	0.08331210351611741	0.10299265776081273	0.10480090081382368	0.7157141334010132
0.3	9	0.42496684024278264	0.4928571684247828	0.4241366019726939	0.4249668402427827	0.7862806964172689
0.4	0	0.09547808401786273	0.08103557606595067	0.0936618112808216	0.09547808401786273	0.7137883069456481
0.4	1	0.4298142706672585	0.492627035784629	0.4289883759420244	0.42981427066725847	0.7871200928379276
0.4	2	0.10480090081382366	0.08331210351611741	0.10299265776081273	0.10480090081382368	0.7157141334010132
0.4	3	0.42569785214361316	0.4874531472604956	0.4248646338360621	0.42569785214361316	0.7853927013295128
0.4	4	0.10480090081382366	0.08331210351611741	0.10299265776081273	0.10480090081382368	0.7157141334010132
0.4	5	0.10129020627785819	0.08027674464286917	0.09946384846207137	0.10129020627785819	0.7158047531054953
0.4	6	0.09547808401786273	0.08103557606595067	0.0936618112808216	0.09547808401786273	0.7137883069456481
0.4	7	0.10480090081382366	0.08331210351611741	0.10299265776081273	0.10480090081382368	0.7157141334010132
0.4	8	0.09776931975072996	0.07726340305522951	0.09592443173676295	0.09776931975072994	0.7159102293578123
0.4	9	0.10830169515079438	0.08636946736826615	0.1065111721218362	0.10830169515079438	0.7156384346852342
