r	NMI	AdjRand	AdjMI	Vmeas	Fowlkes
0.0	0.2624674418212961	0.2874335521120871	0.261147595253287	0.2624674418212961	0.7503875018768642
0.1	0.2010559537822702	0.20708479995802112	0.19955098466288743	0.2010559537822702	0.7362590014294165
0.2	0.18770575822704974	0.19640346997874875	0.18602515112222057	0.18770575822704977	0.7370224236227857
0.3	0.2637023476709377	0.285786478082304	0.26238172296110335	0.2637023476709377	0.7502090743090022
0.4	0.1668232214467451	0.16359972607917433	0.16520540579428383	0.16682322144674505	0.7294585225410317
0.5	0.25095621407445856	0.27533295087745596	0.24946579474152958	0.2509562140744585	0.7506650264189917
0.6	0.23427124324440013	0.2598389320453606	0.23245801153690832	0.23427124324440013	0.753440719469232
0.7	0.09923792457466367	0.10650148516871376	0.09646243101884105	0.09923792457466366	0.7386981756304674
0.8	0.09328772029702985	0.10135550214220042	0.09037126804830123	0.09328772029702985	0.7395892999908446
0.9	0.1997528461483541	0.2229832292537856	0.19758263875613488	0.1997528461483541	0.7497490780022706
1.0	0.1319196618378076	0.14656960350246662	0.12925878187456982	0.13191966183780762	0.7442248096495776
1.1	0.05132451515233096	0.05257563303339667	0.04814692631908797	0.05132451515233096	0.7336908837078432
