r	NMI	AdjRand	AdjMI	Vmeas	Fowlkes
0.0	0.05483077868175733	0.06845046892557169	0.05499455350171741	0.05483077868175733	0.01208274081417961
0.1	0.04932661579450507	0.06196887702977775	0.04947412842105436	0.04932661579450507	0.010915735220474997
0.2	0.05166214612814335	0.06402561014675544	0.05187073563080087	0.05166214612814335	0.010458883473182733
0.3	0.05275223458177017	0.06729685969941974	0.05291359327134424	0.05275223458177016	0.011511505375044336
0.4	0.0435110094477623	0.05441335482085614	0.04364241549556491	0.0435110094477623	0.009470598687090739
0.5	0.057208666912237006	0.07016815789485494	0.05744560555198942	0.057208666912237	0.011194603830441253
0.6	0.0630530963405863	0.07511697860228705	0.06340502977672847	0.0630530963405863	0.010213432678153448
0.7	0.055025782990625376	0.06408712912642281	0.05536232966983865	0.05502578299062537	0.007996256814900926
0.8	0.055407045978481964	0.06435604056373562	0.0557542424792018	0.055407045978481964	0.007639870334803533
0.9	0.0638510724267315	0.07377474843906044	0.06427171542391401	0.0638510724267315	0.00804856458126563
1.0	0.06199726940230992	0.07220005486679595	0.06239255810817641	0.06199726940230992	0.00821368597017411
1.1	0.04114229593206132	0.04774728833680477	0.041401967669195815	0.04114229593206132	0.0055549536999298784
