r	NMI	AdjRand	AdjMI	Vmeas	Fowlkes
0.0	0.16555285042094522	0.20424329235266908	0.16652028855124001	0.1655528504209452	0.10750750981025049
0.1	0.10015052757871913	0.16836078633510698	0.10171885265343578	0.10015052757871915	0.07742953952336114
0.2	0.21148929261812402	0.2464716895310498	0.21253804218555816	0.21148929261812402	0.13411387416876291
0.3	0.21177567260647373	0.21790287433057315	0.2129129666440445	0.21177567260647376	0.12558883440080928
0.4	0.15778535278041772	0.19376720353673	0.15874998860119788	0.15778535278041772	0.102891381002143
0.5	0.14539917822134943	0.18436905721589664	0.14609551908497273	0.1453991782213494	0.09237465156373258
0.6	0.054153413232269694	0.09362333209595841	0.054355577312265466	0.05415341323226968	0.040200256326121876
0.7	0.12115757980291675	0.14689577186833386	0.12171998543783454	0.1211575798029167	0.07352577726084729
0.8	0.1947761664656923	0.14353169853241762	0.1941111341993388	0.19477616646569232	0.04592690568524512
0.9	0.21603778826869222	0.1916404813150697	0.21553421487486044	0.21603778826869222	0.07264903995036134
1.0	0.2409568826480182	0.25204444882873683	0.24055318303207548	0.2409568826480182	0.09974361616469246
1.1	0.2965269424076687	0.26465987005335573	0.2961234022484017	0.2965269424076687	0.11366022922404552
