r	NMI	AdjRand	AdjMI	Vmeas	Fowlkes
0.0	0.0551842834736484	0.0680810974508897	0.05550676285041333	0.0551842834736484	0.03583583660341683
0.1	0.03338350919290638	0.05612026211170232	0.03390628421781192	0.03338350919290638	0.025809846507787042
0.2	0.070496430872708	0.08215722984368327	0.0708460140618527	0.07049643087270802	0.044704624722920965
0.3	0.07059189086882457	0.07263429144352437	0.07097098888134816	0.07059189086882459	0.041862944800269766
0.4	0.05259511759347257	0.06458906784557666	0.05291666286706596	0.05259511759347257	0.03429712700071433
0.5	0.0484663927404498	0.06145635240529888	0.048698506361657574	0.0484663927404498	0.03079155052124419
0.6	0.0180511377440899	0.031207777365319468	0.018118525770755154	0.018051137744089892	0.013400085442040625
0.7	0.04038585993430558	0.04896525728944461	0.04057332847927817	0.04038585993430556	0.024508592420282426
0.8	0.06492538882189743	0.047843899510805865	0.06470371139977958	0.06492538882189744	0.015308968561748373
0.9	0.07201259608956408	0.06388016043835656	0.07184473829162015	0.07201259608956408	0.024216346650120447
1.0	0.08031896088267272	0.0840148162762456	0.08018439434402513	0.08031896088267272	0.03324787205489748
1.1	0.09884231413588955	0.08821995668445191	0.09870780074946725	0.09884231413588958	0.03788674307468184
