r	NMI	AdjRand	AdjMI	Vmeas	Fowlkes
0.0	0.7282500237238454	0.6908371582315554	0.7253811694603522	0.7282500237238454	0.8157915219596324
0.1	0.7495566594378331	0.6799283888075656	0.7464112651271841	0.7495566594378332	0.8174785547042163
0.2	0.7118766040527362	0.6632396034480426	0.7094330207073883	0.7118766040527362	0.8045771672405483
0.3	0.5194588301777736	0.43829718067556167	0.5161908779462651	0.5194588301777736	0.6801096686054919
0.4	0.6695114890669464	0.5494982309335686	0.6672155896441903	0.6695114890669464	0.7605342110683442
0.5	0.6870226041559262	0.5887934764301165	0.6846158256037551	0.6870226041559265	0.7724522618844414
0.6	0.6887267730280585	0.523413425412225	0.6865158426163557	0.6887267730280585	0.7537858017992113
0.7	0.6310855197513573	0.5182618506565435	0.628449358764366	0.6310855197513573	0.7392691139980335
0.8	0.5687469621162291	0.42711695033479813	0.5664925421671533	0.5687469621162291	0.7123915460358123
0.9	0.6049732526394276	0.46977237802757593	0.6029059883794246	0.6049732526394276	0.7338910079168078
1.0	0.6556225163802178	0.5696555621231253	0.6537083661523418	0.6556225163802178	0.7774801147124
1.1	0.5171952040257441	0.4115166765063247	0.5152706904170083	0.5171952040257441	0.7104009725067637
