r	AdjMI	AdjRand	NVI	Vmeas	Fowlkes	NMI	varK
0.0	0.016652861343537433	0.020753668650330057	0.00083294546397306	0.016599129073680916	0.0036333561390694685	0.016599129073680916	0.0
0.1	0.016752912868356656	0.02077450155990447	0.0008384225640218647	0.016697113329263925	0.0036051959537756464	0.016697113329263928	0.0
0.2	0.016395335491735104	0.020407200804300772	0.0008132014974160907	0.016344478078990383	0.003567447379878478	0.016344478078990386	0.0
0.3	0.016757772286364755	0.020781132490697272	0.0008008976202648068	0.016699580099965257	0.0035254236173515004	0.016699580099965257	0.0
0.4	0.017113108291625385	0.020992836295843288	0.0008273684381254361	0.017048721364783796	0.0034972491428360555	0.017048721364783796	0.0
0.5	0.016865645074474956	0.0208381998262987	0.0007936012438772924	0.016803371181756163	0.0034631162279178465	0.01680337118175616	0.0
0.6	0.019359435188073183	0.022772213769460335	0.0007142126244843107	0.01924980279173173	0.003087309069541581	0.01924980279173173	0.0
0.7	0.020060247960312645	0.023255010513019526	0.0003785229115342673	0.019936258107062593	0.002797363471381636	0.019936258107062597	0.0
0.8	0.02055264632888913	0.023744545778414658	0.00022140559160146214	0.02042379560603609	0.002770912899362371	0.020423795606036094	0.0
0.9	0.01870350667767521	0.02164335696238027	0.0002662025156135082	0.018585484758327855	0.002501329968302247	0.018585484758327855	0.0
1.0	0.016207471351858783	0.018639333362478423	0.00020769866120247748	0.01610544845908195	0.00215787985053786	0.016105448459081947
