r	run	AdjMI	AdjRand	NVI	Vmeas	Fowlkes	NMI	varK
0.0	0	0.4289883759420244	0.492627035784629	0.10967340280263224	0.42981427066725847	0.7871200928379276	0.4298142706672585	0.0
0.0	1	0.10395094167643043	0.09019018247355741	0.1276542934195232	0.10571621364625192	0.7135872393836143	0.10571621364625192	0.0
0.0	2	0.428295794818846	0.49804902998168243	0.11032733175569039	0.42911873269418244	0.788041022377689	0.4291187326941824	0.0
0.0	3	0.1065111721218362	0.08636946736826615	0.12529869556361548	0.10830169515079438	0.7156384346852342	0.10830169515079438	0.0
0.0	4	0.0936618112808216	0.08103557606595067	0.12710062984860104	0.09547808401786273	0.7137883069456481	0.09547808401786273	0.0
0.0	5	0.43669058516204273	0.508498805607494	0.10904221229903695	0.4374989146209485	0.7916222420719914	0.4374989146209484	0.0
0.0	6	0.09946384846207137	0.08027674464286917	0.12491156446019311	0.10129020627785819	0.7158047531054953	0.10129020627785819	0.0
0.0	7	0.4241366019726939	0.4928571684247828	0.11095656574354607	0.4249668402427827	0.7862806964172689	0.42496684024278264	0.0
0.0	8	0.10395094167643043	0.09019018247355741	0.1276542934195232	0.10571621364625192	0.7135872393836143	0.10571621364625192	0.0
0.0	9	0.09709773189865673	0.08406510252485086	0.1272967662429428	0.09889665611386292	0.71370628001608	0.09889665611386292	0.0
0.0	10	0.4289883759420244	0.492627035784629	0.10967340280263223	0.42981427066725847	0.7871200928379276	0.4298142706672585	0.0
0.0	11	0.10299265776081273	0.08331210351611741	0.1251109942878661	0.10480090081382368	0.7157141334010132	0.10480090081382366	0.0
0.0	12	0.10395094167643043	0.09019018247355741	0.1276542934195232	0.10571621364625192	0.7135872393836143	0.10571621364625192	0.0
0.0	13	0.09709773189865673	0.08406510252485086	0.1272967662429428	0.09889665611386292	0.71370628001608	0.09889665611386292	0.0
0.0	14	0.10395094167643043	0.09019018247355741	0.1276542934195232	0.10571621364625192	0.7135872393836143	0.10571621364625192	0.0
0.0	15	0.4289883759420244	0.492627035784629	0.10967340280263224	0.42981427066725847	0.7871200928379276	0.4298142706672585	0.0
0.0	16	0.09709773189865673	0.08406510252485086	0.1272967662429428	0.09889665611386292	0.71370628001608	0.09889665611386292	0.0
0.0	17	0.4408250241973963	0.5192438391359179	0.1088897075490558	0.44162258307969365	0.7945216472439747	0.4416225830796937	0.0
0.0	18	0.10299265776081273	0.08331210351611741	0.1251109942878661	0.10480090081382368	0.7157141334010132	0.10480090081382366	0.0
0.0	19	0.420002210684197	0.48768731101045765	0.11157702272475108	0.42083974822689285	0.7845405383268294	0.4208397482268929	0.0
0.0	20	0.10052740671717648	0.08711664195425126	0.1274812309108172	0.1023093359415874	0.7136392360027131	0.10230933594158743	0.0
0.0	21	0.10299265776081273	0.08331210351611741	0.1251109942878661	0.10480090081382368	0.7157141334010132	0.10480090081382366	0.0
0.0	22	0.41556371106176415	0.4879180017392133	0.11278436603299424	0.4164049760962515	0.7837017198783625	0.41640497609625154	0.0
0.0	23	0.437309009316006	0.503040759420269	0.10841852445390038	0.4381202565602315	0.7906354222610044	0.4381202565602315	0.0
0.0	24	0.428295794818846	0.49804902998168243	0.11032733175569039	0.42911873269418244	0.788041022377689	0.4291187326941824	0.0
0.0	25	0.43847402275036074	0.49759337218214605	0.10767803946884445	0.4392875246699706	0.789707575210089	0.4392875246699706	0.0
0.0	26	0.428295794818846	0.49804902998168243	0.11032733175569037	0.42911873269418244	0.788041022377689	0.4291187326941824	0.0
0.0	27	0.10395094167643043	0.09019018247355741	0.1276542934195232	0.10571621364625192	0.7135872393836143	0.10571621364625192	0.0
0.0	28	0.1065111721218362	0.08636946736826615	0.12529869556361545	0.10830169515079438	0.7156384346852342	0.10830169515079438	0.0
0.0	29	0.0936618112808216	0.08103557606595067	0.12710062984860104	0.09547808401786273	0.7137883069456481	0.09547808401786273	0.0
0.0	30	0.1065111721218362	0.08636946736826615	0.12529869556361545	0.10830169515079438	0.7156384346852342	0.10830169515079438	0.0
0.0	31	0.09709773189865673	0.08406510252485086	0.1272967662429428	0.09889665611386292	0.71370628001608	0.09889665611386292	0.0
0.0	32	0.006744958649892184	0.004828344696591908	0.10667376822595344	0.010182219220269649	0.7281359300079132	0.010182219220269649	0.0
0.0	33	0.4241366019726939	0.4928571684247828	0.11095656574354607	0.4249668402427827	0.7862806964172689	0.42496684024278264	0.0
0.0	34	0.4331363384593268	0.49782290323739853	0.10905034607144147	0.4339549098519702	0.7888676605153101	0.4339549098519702	0.0
0.0	35	0.0936618112808216	0.08103557606595067	0.12710062984860104	0.09547808401786273	0.7137883069456481	0.09547808401786273	0.0
0.0	36	0.10052740671717648	0.08711664195425126	0.1274812309108172	0.1023093359415874	0.7136392360027131	0.10230933594158743	0.0
0.0	37	0.420002210684197	0.48768731101045765	0.11157702272475108	0.42083974822689285	0.7845405383268294	0.4208397482268929	0.0
0.0	38	0.10052740671717648	0.08711664195425126	0.12748123091081717	0.1023093359415874	0.7136392360027131	0.10230933594158743	0.0
0.0	39	0.0936618112808216	0.08103557606595067	0.12710062984860104	0.09547808401786273	0.7137883069456481	0.09547808401786273	0.0
0.0	40	0.420002210684197	0.48768731101045765	0.11157702272475108	0.42083974822689285	0.7845405383268294	0.4208397482268929	0.0
0.0	41	0.420002210684197	0.48768731101045765	0.11157702272475108	0.42083974822689285	0.7845405383268294	0.4208397482268929	0.0
0.0	42	0.42076463534185027	0.4823012280646396	0.11089352625326995	0.4216051785408829	0.783685467007212	0.4216051785408829	0.0
0.0	43	0.4241366019726939	0.4928571684247828	0.11095656574354607	0.4249668402427827	0.7862806964172689	0.42496684024278264	0.0
0.0	44	0.4248646338360621	0.4874531472604956	0.11028777147775058	0.42569785214361316	0.7853927013295128	0.42569785214361316	0.0
0.0	45	0.0936618112808216	0.08103557606595067	0.12710062984860104	0.09547808401786273	0.7137883069456481	0.09547808401786273	0.0
0.0	46	0.43248028617807033	0.5032629056519388	0.10968924136239483	0.43329592147340795	0.7898215325278614	0.43329592147340795	0.0
0.0	47	0.10299265776081273	0.08331210351611741	0.1251109942878661	0.10480090081382368	0.7157141334010132	0.10480090081382366	0.0
0.0	48	0.1065111721218362	0.08636946736826615	0.12529869556361548	0.10830169515079438	0.7156384346852342	0.10830169515079438	0.0
0.0	49	0.10052740671717648	0.08711664195425126	0.12748123091081717	0.1023093359415874	0.7136392360027131	0.10230933594158743	0.0
0.0	50	0.0936618112808216	0.08103557606595067	0.12710062984860104	0.09547808401786273	0.7137883069456481	0.09547808401786273	0.0
0.0	51	0.42807543228410844	0.503481695362207	0.11087770470311441	0.4288948651377915	0.7890208509682702	0.42889486513779146	0.0
0.0	52	0.0936618112808216	0.08103557606595067	0.12710062984860104	0.09547808401786273	0.7137883069456481	0.09547808401786273	0.0
0.0	53	0.0936618112808216	0.08103557606595067	0.12710062984860104	0.09547808401786273	0.7137883069456481	0.09547808401786273	0.0
0.0	54	0.420002210684197	0.48768731101045765	0.11157702272475108	0.42083974822689285	0.7845405383268294	0.4208397482268929	0.0
0.0	55	0.43669058516204273	0.508498805607494	0.10904221229903695	0.4374989146209485	0.7916222420719914	0.4374989146209484	0.0
0.0	56	0.4331363384593268	0.49782290323739853	0.10905034607144147	0.4339549098519702	0.7888676605153101	0.4339549098519702	0.0
0.0	57	0.10052740671717648	0.08711664195425126	0.12748123091081717	0.1023093359415874	0.7136392360027131	0.10230933594158743	0.0
0.0	58	0.420002210684197	0.48768731101045765	0.11157702272475108	0.42083974822689285	0.7845405383268294	0.4208397482268929	0.0
0.0	59	0.437309009316006	0.503040759420269	0.10841852445390038	0.4381202565602315	0.7906354222610044	0.4381202565602315	0.0
0.0	60	0.428295794818846	0.49804902998168243	0.11032733175569037	0.42911873269418244	0.788041022377689	0.4291187326941824	0.0
0.0	61	0.006744958649892184	0.004828344696591908	0.10667376822595344	0.010182219220269649	0.7281359300079132	0.010182219220269649	0.0
0.0	62	0.4289883759420244	0.492627035784629	0.10967340280263224	0.42981427066725847	0.7871200928379276	0.4298142706672585	0.0
