r	AdjMI	AdjRand	NVI	Vmeas	Fowlkes	NMI	varK
0.0	0.2712653833309797	0.3003204036289436	0.11768328672977559	0.2725805586729633	0.7531178228286555	0.2725805586729633	0.0
0.1	0.25427429777830834	0.27823826806175195	0.11812110763373583	0.2556553103389259	0.749573150980298	0.2556553103389259	0.0
0.2	0.24181738661374155	0.26193376530127	0.11918269555320066	0.24320934533491978	0.7461549784931027	0.24320934533491984	0.0
0.3	0.2489380354224591	0.27130121253438577	0.1179396070737665	0.25035201425423526	0.7488138535793527	0.2503520142542352	0.0
0.4	0.24207222692834646	0.264295531175753	0.11762084288809892	0.2435464571598219	0.7483152257985338	0.2435464571598219	0.0
0.5	0.24281944496157404	0.2645343491883813	0.11780078314640545	0.2442785933856622	0.7480795284420345	0.24427859338566218	0.0
0.6	0.20397499293344154	0.22732769997073166	0.11230946121933665	0.2059686073837315	0.7498133042164955	0.20596860738373152	0.0
0.7	0.1679378177278052	0.1901125062670976	0.10896104412118096	0.17032449301408906	0.7490484703515103	0.17032449301408903	0.0
0.8	0.18073911834094805	0.20584927674693834	0.10846272702553947	0.1830853228528371	0.751573645632861	0.18308532285283707	0.0
0.9	0.12550336995676165	0.14221200806578846	0.10812379745627552	0.12818968879589898	0.7438473363802649	0.12818968879589898	0.0
1.0	0.08474231144660915	0.09447208462686717	0.10753837906413798	0.0876876871169146	0.7384068149594877	0.0876876871169146	0.0
