r	AdjMI	AdjRand	NVI	Vmeas	Fowlkes	NMI	varK
0.0	0.17199595589619707	0.21196313631436067	0.05122125948895592	0.1704188544602616	0.10720708386172816	0.1704188544602616	0.16546231527987812
0.1	0.1476183886497447	0.19712393495576896	0.045487982819273486	0.146672503008388	0.09935727462360108	0.146672503008388	0.16636639617957036
0.2	0.1553977382157789	0.19958702684170662	0.04802842706136586	0.15448167375173244	0.10164345020502646	0.15448167375173247	0.16546231527987812
0.3	0.16928182316881837	0.20518381239746736	0.04896102737681853	0.1686541181759686	0.10188951915362673	0.1686541181759686	0.16996731711975965
0.4	0.1405801777179834	0.17891876428758555	0.04349269348427324	0.13990597066546168	0.09023820173948362	0.13990597066546168	0.15125401739384564
0.5	0.16541884729391754	0.1915040235664305	0.04459793381390126	0.16504245053223154	0.09211832153274925	0.16504245053223157	0.15719768163402123
0.6	0.16950016807410445	0.19440018382285934	0.04076435520422423	0.16934651945748372	0.08788345880728769	0.16934651945748372	0.16583123951777012
0.7	0.15980550202270577	0.16988170333833233	0.03916510100809226	0.15968653671358224	0.07778790046946434	0.15968653671358224	0.14157840387730208
0.8	0.17902535858493554	0.17676257865749162	0.03933169624255147	0.17913265781771415	0.0763123874482979	0.17913265781771415	0.14529663145135574
0.9	0.18477887606523644	0.17065689393747496	0.039731755480913004	0.18495396531700603	0.07283750388990023	0.18495396531700603	0.13266499161421605
1.0	0.185423540727586	0.16176418922691124	0.04213012707676119	0.1855568200786149	0.0711785992331825	0.1855568200786149	0.12454361128179602
1.1	0.23076315437584008	0.20438794626767473	0.046319202530622994	0.2311453242056632	0.08283626852400613	0.2311453242056632	0.15982629459649142
