r	AdjMI	AdjRand	NVI	Vmeas	Fowlkes	NMI	varK
0.0	0.01728624397473337	0.021303096743687557	0.005147930273160545	0.017127739316571893	0.01077471733447024	0.017127739316571893	0.016629588385661965
0.1	0.01483620628206247	0.019811700892324507	0.00457171428732312	0.014741141198215046	0.009985781821781357	0.01474114119821505	0.01672045193488639
0.2	0.015618060331260942	0.020059250941107054	0.004827038540409156	0.015525992388502755	0.01021555111294683	0.015525992388502757	0.016629588385661965
0.3	0.01701346337206855	0.020621749053850662	0.004920768398764417	0.016950376646604443	0.010240281972797265	0.016950376646604443	0.01708235810635129
0.4	0.014128839468243382	0.01798201239684729	0.004371180163917255	0.0140610791099335	0.009069280512917065	0.0140610791099335	0.015201600719068948
0.5	0.01662521968869761	0.019246878545855398	0.004482260996539826	0.016587390390794057	0.009258239661861994	0.01658739039079406	0.015798961451326986
0.6	0.017035407860726718	0.019537953603531576	0.004096971849490401	0.017019965593730108	0.00883261994370994	0.017019965593730108	0.01666666666666668
0.7	0.016061057261930183	0.01707375359756711	0.003936240755157941	0.016049100798492866	0.007817978154143148	0.016049100798492866	0.014229164972073004
0.8	0.017992725526820064	0.017765307587351002	0.0039529842062052895	0.018003509505469147	0.007669683515825183	0.018003509505469143	0.014602860903839351
0.9	0.018570975790665793	0.01715166318418429	0.003993191672495003	0.018588572922573186	0.007320444577843968	0.018588572922573186	0.013333333333333336
1.0	0.018635767027048056	0.016257912732779264	0.004234237087382104	0.018649162105825783	0.007153718386652875	0.018649162105825783	0.012517103898714882
1.1	0.02319256965162186	0.020541761498218104	0.00465525501159263	0.0232309791647042	0.008325358234159256	0.0232309791647042	0.016063146994223294
