r	AdjMI	AdjRand	NVI	Vmeas	Fowlkes	NMI	varK
0.0	0.713320461671526	0.6568537950890012	0.10312744196441415	0.7164134799539539	0.8026992622261306	0.7164134799539539	0.14666666666666675
0.1	0.712450369840694	0.6368551288604654	0.10198209192431472	0.7151219508504422	0.7954691784888928	0.7151219508504422	0.15666666666666676
0.2	0.6898848297543394	0.6087118650985878	0.10815645540156887	0.6925316223462755	0.7818940983393782	0.6925316223462755	0.18666666666666668
0.3	0.6741286763310588	0.5887194927018826	0.11159524181453526	0.6766260137244895	0.7730212783364326	0.6766260137244896	0.19999999999999996
0.4	0.6700365251247256	0.566785071303773	0.1122222945422692	0.6724506622809162	0.7640587049227786	0.6724506622809162	0.2366666666666665
0.5	0.651604434639346	0.5440911263897273	0.11492848300211415	0.6539684912556968	0.7561147787666682	0.6539684912556969	0.25333333333333313
0.6	0.6595233097737669	0.5537197064420419	0.11117311577575953	0.6617839643782556	0.7628446390168739	0.6617839643782556	0.24999999999999978
0.7	0.6288015322830465	0.5095265397011122	0.11984790015514837	0.6312056342598096	0.7416326483665014	0.6312056342598096	0.28666666666666635
0.8	0.6286317725833428	0.5015061967421081	0.11701454314628626	0.6308935900281835	0.741666273520777	0.6308935900281835	0.29999999999999966
0.9	0.6063039073331423	0.47721251132510206	0.12231663398402275	0.6086118826760138	0.7309375289204649	0.6086118826760138	0.3199999999999996
1.0	0.589491097007755	0.46068152865257955	0.12812130208104403	0.5918992281713307	0.7206939897310746	0.5918992281713307	0.3266666666666664
1.1	0.5694455817589464	0.4518316311376644	0.12907211746615402	0.5716812116848966	0.721422494146612	0.5716812116848966	0.3299999999999998
